Metric,Min,LQ,Median,UQ,Max,Mean,Std,RMSE
AC_x,0.03,0.14,0.26,0.41,1.35,0.3,0.22,0.4
AC_y,0.03,0.33,0.67,1.09,3.18,0.83,0.68,1.18
AC_z,0.05,0.53,1.06,1.77,3.96,1.24,0.88,1.5
AC_Euc,0.33,1.05,1.39,2.38,4.38,1.7,0.9,NaN
AC_RMSE,0.18,0.57,0.79,1.35,2.53,0.96,0.52,NaN
PC_x,0.03,0.18,0.29,0.38,1.16,0.34,0.24,0.43
PC_y,0.14,0.41,0.77,1.28,3.17,0.97,0.72,1.27
PC_z,0.13,0.48,0.85,1.3,3.65,1.01,0.76,1.29
PC_Euc,0.3,1,1.42,2.1,4.37,1.62,0.85,NaN
PC_RMSE,0.16,0.56,0.8,1.21,2.52,0.92,0.49,NaN
ACPC_x,0.03,0.16,0.28,0.41,1.35,0.32,0.23,0.42
ACPC_y,0.03,0.38,0.72,1.22,3.18,0.9,0.71,1.23
ACPC_z,0.05,0.51,0.97,1.43,3.96,1.13,0.82,1.4
ACPC_Euc,0.3,1.02,1.42,2.23,4.38,1.66,0.87,NaN
ACPC_RMSE,0.16,0.57,0.8,1.25,2.53,0.94,0.5,NaN
